Job,Skills
Solution Architect,"Microservices, Scalability, Cloud Architecture, Security"
Scrum Master,"Agile, JIRA, Sprint Planning, Team Facilitation, Scrum"
Embedded Systems Engineer,"C++, Hardware Debugging, C, RTOS, Microcontrollers"
Database Administrator,"MongoDB, NoSQL, PostgreSQL"
Network Engineer,"Firewalls, Routing, Network Protocols, VPN, Cisco, Switching"
IT Support Specialist,"Troubleshooting, Hardware, Ticketing Systems, Networking"
Scrum Master,"Sprint Planning, Retrospectives, JIRA, Team Facilitation, Scrum, Agile"
IT Support Specialist,"Software, Ticketing Systems, Troubleshooting"
Embedded Systems Engineer,"Microcontrollers, C++, Hardware Debugging"
Frontend Developer,"JavaScript, HTML, Vue.js, React"
UI/UX Designer,"Prototyping, Adobe XD, Sketch, Figma"
Scrum Master,"Agile, Scrum, Sprint Planning, JIRA, Team Facilitation, Retrospectives"
Product Manager,"Scrum, Roadmapping, Agile"
Cybersecurity Analyst,"Threat Hunting, Encryption, Incident Response, Firewalls"
Full Stack Developer,"Node.js, CSS, Python, React, HTML, JavaScript"
Data Scientist,"R, SQL, Python, Machine Learning"
Solution Architect,"Security, APIs, Scalability"
Backend Developer,"Django, Spring Boot, SQL"
UI/UX Designer,"Adobe XD, Figma, User Research"
Technical Writer,"Git, Content Management Systems, Markdown, API Documentation"
ML Engineer,"Pandas, TensorFlow, PyTorch, NumPy, Python, Scikit-learn"
Data Engineer,"SQL, Hadoop, ETL, Apache Spark, Data Warehousing, Python"
Data Scientist,"Python, Pandas, Machine Learning, Data Visualization, SQL"
DevOps Engineer,"AWS, Jenkins, Docker, Linux, CI/CD, Kubernetes"
Frontend Developer,"React, Angular, Vue.js"
DevOps Engineer,"AWS, CI/CD, Linux, Kubernetes, Docker, Jenkins"
Network Engineer,"Network Protocols, Firewalls, Routing, VPN, Cisco, Switching"
Digital Marketing Specialist,"Email Marketing, SEM, Content Marketing, Google Analytics"
Blockchain Developer,"Smart Contracts, Blockchain Protocols, Cryptography"
Systems Analyst,"Process Modeling, UML, Data Flow Diagrams, Requirements Gathering, System Design"
Security Engineer,"Cybersecurity, Encryption, Network Security"
Database Administrator,"Database Optimization, MySQL, NoSQL, SQL, MongoDB, PostgreSQL"
Digital Marketing Specialist,"SEO, Google Analytics, Content Marketing, Social Media Marketing, Email Marketing, SEM"
IT Support Specialist,"Customer Service, Hardware, Troubleshooting, Software, Ticketing Systems, Networking"
UI/UX Designer,"Sketch, Figma, Prototyping, Wireframing, User Research"
Salesforce Developer,"Integration, Visualforce, SOQL"
Blockchain Developer,"Cryptography, Blockchain Protocols, Solidity, Smart Contracts, Ethereum"
Data Engineer,"SQL, Data Warehousing, Hadoop"
Backend Developer,"SQL, Node.js, Django, Java"
Systems Analyst,"Requirements Gathering, Process Modeling, Data Flow Diagrams, UML, System Design"
Blockchain Developer,"Blockchain Protocols, Solidity, Ethereum"
Blockchain Developer,"Ethereum, Solidity, Blockchain Protocols"
Network Engineer,"Firewalls, Switching, Routing, Network Protocols, VPN"
Business Analyst,"Process Modeling, Stakeholder Management, Requirements Gathering"
Backend Developer,"Java, Django, SQL"
Product Manager,"Roadmapping, Agile, Market Research"
Big Data Analyst,"SQL, Python, Hadoop, Hive, Spark, Data Visualization"
Cloud Architect,"Docker, Azure, Google Cloud, Kubernetes, Terraform"
Database Administrator,"SQL, MySQL, PostgreSQL, NoSQL, MongoDB, Database Optimization"
Data Engineer,"ETL, Data Warehousing, Hadoop, Apache Spark, SQL, Python"
Data Engineer,"Hadoop, Data Warehousing, ETL, Python, Apache Spark, SQL"
Data Scientist,"Data Visualization, Python, Machine Learning"
Embedded Systems Engineer,"C++, Hardware Debugging, Embedded Linux"
Blockchain Developer,"Blockchain Protocols, Solidity, Ethereum, Smart Contracts, Cryptography"
DevOps Engineer,"CI/CD, Linux, AWS, Docker"
Frontend Developer,"React, JavaScript, Angular, Vue.js, CSS"
Solution Architect,"APIs, Scalability, Cloud Architecture, System Design, Security"
Frontend Developer,"JavaScript, HTML, Vue.js"
ERP Consultant,"Data Migration, Customization, Oracle ERP, Business Process Modeling"
Network Engineer,"Firewalls, Cisco, Switching, Routing"
Blockchain Developer,"Solidity, Blockchain Protocols, Cryptography, Smart Contracts, Ethereum"
Digital Marketing Specialist,"SEM, SEO, Social Media Marketing, Content Marketing, Google Analytics"
Mobile App Developer,"React Native, Flutter, Kotlin, Swift"
Digital Marketing Specialist,"Google Analytics, Social Media Marketing, SEM, Email Marketing, Content Marketing, SEO"
Data Scientist,"R, Pandas, Machine Learning, Python, SQL"
Salesforce Developer,"SOQL, Lightning Components, Integration, Visualforce, Salesforce CRM, Apex"
DevOps Engineer,"Linux, Docker, AWS, Kubernetes, CI/CD"
ML Engineer,"PyTorch, Python, Scikit-learn"
Data Engineer,"Python, Hadoop, Apache Spark, ETL, SQL, Data Warehousing"
AI Research Scientist,"Machine Learning, Deep Learning, Python"
UI/UX Designer,"Figma, Adobe XD, User Research, Wireframing, Sketch, Prototyping"
Embedded Systems Engineer,"C++, C, Microcontrollers, RTOS, Embedded Linux"
ML Engineer,"Scikit-learn, PyTorch, NumPy, TensorFlow, Pandas, Python"
Digital Marketing Specialist,"Google Analytics, Content Marketing, SEO, Email Marketing, SEM, Social Media Marketing"
Salesforce Developer,"SOQL, Salesforce CRM, Lightning Components, Apex, Integration, Visualforce"
Data Engineer,"Apache Spark, ETL, Hadoop, SQL, Data Warehousing, Python"
Game Developer,"C#, Unreal Engine, C++"
ERP Consultant,"Customization, ERP Implementation, Data Migration, SAP"
Salesforce Developer,"Integration, Visualforce, SOQL, Apex"
Technical Writer,"Git, API Documentation, Markdown, Content Management Systems, Technical Documentation"
Technical Writer,"Content Management Systems, Technical Documentation, API Documentation, Git, Markdown"
IT Support Specialist,"Hardware, Software, Customer Service, Ticketing Systems, Networking"
Big Data Analyst,"Python, Hadoop, SQL, Data Visualization, Hive, Spark"
UI/UX Designer,"User Research, Figma, Wireframing"
Product Manager,"Roadmapping, Product Lifecycle, Agile, JIRA, Market Research, Scrum"
Big Data Analyst,"Hive, SQL, Python, Spark, Hadoop"
Database Administrator,"MySQL, PostgreSQL, NoSQL, SQL, Database Optimization, MongoDB"
Frontend Developer,"React, Angular, HTML, CSS"
Mobile App Developer,"Xcode, Swift, Flutter, Android Studio, React Native, Kotlin"
Backend Developer,"SQL, Spring Boot, Python"
ERP Consultant,"SAP, Business Process Modeling, Customization"
Digital Marketing Specialist,"Social Media Marketing, Content Marketing, SEO, SEM, Google Analytics"
ML Engineer,"Scikit-learn, Python, Pandas, TensorFlow, PyTorch, NumPy"
ML Engineer,"PyTorch, TensorFlow, Scikit-learn, Pandas, NumPy, Python"
AI Research Scientist,"Python, Reinforcement Learning, Machine Learning, Natural Language Processing"
Mobile App Developer,"Kotlin, React Native, Swift, Flutter, Xcode"
DevOps Engineer,"Docker, Kubernetes, Jenkins"
Technical Writer,"Content Management Systems, Git, API Documentation"
Data Engineer,"ETL, Apache Spark, Data Warehousing"
Database Administrator,"MongoDB, MySQL, SQL, PostgreSQL, NoSQL"
Data Scientist,"Data Visualization, Machine Learning, R, Python"
Big Data Analyst,"Spark, Hadoop, Hive, Data Visualization, Python"
Data Scientist,"Machine Learning, SQL, Data Visualization, Python, Pandas"
IT Support Specialist,"Hardware, Software, Troubleshooting, Ticketing Systems, Networking"
Business Analyst,"UML, Requirements Gathering, Process Modeling"
Full Stack Developer,"JavaScript, Python, React, CSS, Node.js"
ERP Consultant,"Customization, Business Process Modeling, SAP, Oracle ERP, ERP Implementation, Data Migration"
Product Manager,"Scrum, Roadmapping, Product Lifecycle"
Technical Writer,"Markdown, Content Management Systems, Git, API Documentation, Technical Documentation"
ML Engineer,"Pandas, NumPy, Python, TensorFlow, PyTorch"
Embedded Systems Engineer,"Microcontrollers, C, C++, RTOS, Embedded Linux, Hardware Debugging"
Database Administrator,"Database Optimization, NoSQL, MySQL, MongoDB, PostgreSQL, SQL"
Cloud Architect,"Kubernetes, Azure, Docker, Google Cloud, AWS"
Game Developer,"Unity, C#, Unreal Engine, C++"
Cloud Architect,"Google Cloud, AWS, Terraform, Kubernetes"
DevOps Engineer,"Jenkins, Linux, Docker, AWS, Kubernetes, CI/CD"
Big Data Analyst,"SQL, Python, Spark, Hive, Hadoop"
DevOps Engineer,"Kubernetes, Docker, Jenkins, AWS, CI/CD, Linux"
Game Developer,"3D Modeling, Unreal Engine, C#, Game Physics"
Game Developer,"Unreal Engine, Game Physics, C#, 3D Modeling, C++, Unity"
Scrum Master,"Scrum, Agile, Sprint Planning, JIRA"
Scrum Master,"Team Facilitation, Retrospectives, Sprint Planning, JIRA, Agile"
Backend Developer,"Python, Java, Node.js, Spring Boot, SQL, Django"
Data Scientist,"R, Python, Machine Learning"
ML Engineer,"Scikit-learn, Pandas, Python"
Product Manager,"Product Lifecycle, JIRA, Roadmapping, Market Research, Agile, Scrum"
Frontend Developer,"JavaScript, Angular, React, Vue.js, HTML, CSS"
Salesforce Developer,"SOQL, Visualforce, Integration"
QA Engineer,"JIRA, Selenium, Manual Testing, Automated Testing, Bug Tracking"
Blockchain Developer,"Cryptography, Solidity, Smart Contracts, Blockchain Protocols"
Technical Writer,"Git, API Documentation, Technical Documentation, Markdown, Content Management Systems"
Solution Architect,"Cloud Architecture, Microservices, Security, System Design, APIs, Scalability"
Salesforce Developer,"Salesforce CRM, Lightning Components, Visualforce, Integration"
Product Manager,"Scrum, Product Lifecycle, Roadmapping"
AI Research Scientist,"Machine Learning, Reinforcement Learning, Deep Learning, Natural Language Processing, Python"
Full Stack Developer,"Python, JavaScript, CSS, React, Node.js"
Product Manager,"Product Lifecycle, Agile, Roadmapping, JIRA, Market Research, Scrum"
Mobile App Developer,"Flutter, Kotlin, React Native, Android Studio, Xcode, Swift"
Business Analyst,"UML, Requirements Gathering, Data Analysis, Stakeholder Management, Process Modeling"
Cybersecurity Analyst,"Penetration Testing, Incident Response, Encryption, Firewalls, SIEM"
Big Data Analyst,"SQL, Spark, Hadoop, Hive"
Big Data Analyst,"Hadoop, Data Visualization, Python, Hive, Spark, SQL"
Backend Developer,"Django, SQL, Spring Boot, Node.js, Java, Python"
Game Developer,"C++, Game Physics, Unity, 3D Modeling, Unreal Engine"
ML Engineer,"Scikit-learn, TensorFlow, PyTorch"
Security Engineer,"Firewalls, Cybersecurity, Encryption, Network Security"
Backend Developer,"Spring Boot, Django, SQL"
IT Support Specialist,"Customer Service, Software, Hardware, Networking, Ticketing Systems, Troubleshooting"
ML Engineer,"Scikit-learn, Python, PyTorch, Pandas, TensorFlow, NumPy"
UI/UX Designer,"Prototyping, Sketch, Wireframing, Adobe XD"
Security Engineer,"Network Security, SIEM, Cybersecurity, Penetration Testing, Firewalls"
UI/UX Designer,"Wireframing, Figma, Prototyping, User Research, Sketch, Adobe XD"
Full Stack Developer,"JavaScript, Python, React"
Game Developer,"Unreal Engine, 3D Modeling, C#"
Blockchain Developer,"Solidity, Ethereum, Blockchain Protocols, Smart Contracts"
Product Manager,"Agile, Roadmapping, JIRA"
Security Engineer,"Firewalls, Network Security, SIEM, Encryption, Cybersecurity, Penetration Testing"
ERP Consultant,"ERP Implementation, SAP, Business Process Modeling, Customization, Oracle ERP, Data Migration"
AI Research Scientist,"Python, Natural Language Processing, Deep Learning, Reinforcement Learning, Machine Learning"
Security Engineer,"Firewalls, Cybersecurity, Network Security, Encryption, Penetration Testing, SIEM"
DevOps Engineer,"Linux, Kubernetes, Jenkins"
Data Scientist,"Machine Learning, SQL, R"
Technical Writer,"API Documentation, Git, Technical Documentation"
Data Engineer,"ETL, SQL, Hadoop, Apache Spark, Python"
QA Engineer,"Test Cases, Bug Tracking, JIRA, Manual Testing, Selenium"
Systems Analyst,"UML, Requirements Gathering, System Design, Process Modeling, Data Flow Diagrams"
Network Engineer,"Firewalls, Network Protocols, Cisco, VPN"
DevOps Engineer,"AWS, Kubernetes, Linux, CI/CD"
Mobile App Developer,"React Native, Android Studio, Xcode, Flutter, Swift, Kotlin"
Systems Analyst,"Requirements Gathering, System Design, UML, Data Flow Diagrams, Process Modeling"
QA Engineer,"Selenium, Automated Testing, JIRA"
Embedded Systems Engineer,"Hardware Debugging, C++, RTOS, C, Microcontrollers"
Game Developer,"Unreal Engine, 3D Modeling, Unity, C++"
Blockchain Developer,"Cryptography, Smart Contracts, Ethereum, Solidity, Blockchain Protocols"
Network Engineer,"Routing, VPN, Switching, Cisco, Firewalls, Network Protocols"
Blockchain Developer,"Smart Contracts, Ethereum, Blockchain Protocols, Cryptography, Solidity"
Network Engineer,"Network Protocols, VPN, Cisco, Firewalls, Routing"
DevOps Engineer,"Kubernetes, CI/CD, AWS, Linux, Docker, Jenkins"
Security Engineer,"Firewalls, Network Security, Cybersecurity"
Security Engineer,"Cybersecurity, Penetration Testing, Network Security"
ML Engineer,"Python, NumPy, TensorFlow, Scikit-learn, PyTorch, Pandas"
Cybersecurity Analyst,"Encryption, Firewalls, Incident Response, SIEM, Penetration Testing, Threat Hunting"
Blockchain Developer,"Solidity, Smart Contracts, Blockchain Protocols"
Scrum Master,"JIRA, Retrospectives, Sprint Planning, Agile, Scrum"
Technical Writer,"Technical Documentation, Content Management Systems, API Documentation, Git, Markdown"
Network Engineer,"Network Protocols, Cisco, Switching, Routing, VPN, Firewalls"
Salesforce Developer,"Visualforce, Lightning Components, SOQL"
Blockchain Developer,"Ethereum, Cryptography, Smart Contracts, Solidity, Blockchain Protocols"
Database Administrator,"MySQL, MongoDB, NoSQL, Database Optimization, PostgreSQL"
Database Administrator,"PostgreSQL, NoSQL, MongoDB, SQL"
Network Engineer,"Switching, Firewalls, Cisco, Network Protocols"
QA Engineer,"JIRA, Automated Testing, Selenium, Test Cases"
DevOps Engineer,"Jenkins, Kubernetes, AWS, Docker, CI/CD, Linux"
IT Support Specialist,"Networking, Customer Service, Ticketing Systems, Software, Troubleshooting, Hardware"
QA Engineer,"Bug Tracking, JIRA, Selenium, Test Cases, Automated Testing"
QA Engineer,"JIRA, Automated Testing, Bug Tracking, Manual Testing, Test Cases"
Security Engineer,"Firewalls, Cybersecurity, Encryption"
Systems Analyst,"Data Flow Diagrams, System Design, Process Modeling"
QA Engineer,"Automated Testing, Bug Tracking, Test Cases, Selenium, JIRA, Manual Testing"
Solution Architect,"Cloud Architecture, Security, Scalability, APIs, Microservices, System Design"
Data Scientist,"SQL, Python, R, Machine Learning, Pandas"
UI/UX Designer,"Figma, Wireframing, Prototyping"
Blockchain Developer,"Blockchain Protocols, Ethereum, Cryptography, Smart Contracts, Solidity"
AI Research Scientist,"Reinforcement Learning, Deep Learning, Machine Learning, Natural Language Processing, Python"
Big Data Analyst,"SQL, Hive, Python, Hadoop"
ERP Consultant,"Oracle ERP, Customization, SAP, Data Migration, Business Process Modeling, ERP Implementation"
ERP Consultant,"SAP, Customization, Data Migration, Business Process Modeling"
Security Engineer,"Penetration Testing, SIEM, Encryption, Cybersecurity, Firewalls"
Cloud Architect,"Terraform, Docker, AWS, Azure, Kubernetes, Google Cloud"
Cloud Architect,"AWS, Google Cloud, Kubernetes, Terraform, Azure, Docker"
Digital Marketing Specialist,"Google Analytics, Content Marketing, Social Media Marketing, SEO, Email Marketing"
Frontend Developer,"React, Vue.js, CSS"
Frontend Developer,"JavaScript, React, CSS"
Big Data Analyst,"Hadoop, Data Visualization, Hive, Python, Spark, SQL"
Cybersecurity Analyst,"Incident Response, SIEM, Penetration Testing, Firewalls"
Systems Analyst,"Process Modeling, System Design, UML, Data Flow Diagrams"
Product Manager,"Scrum, Product Lifecycle, Agile, JIRA"
Business Analyst,"UML, Stakeholder Management, Process Modeling"
Solution Architect,"Cloud Architecture, APIs, Security, Microservices, System Design"
Embedded Systems Engineer,"C++, Hardware Debugging, RTOS, C, Embedded Linux, Microcontrollers"
QA Engineer,"Selenium, JIRA, Test Cases"
Cloud Architect,"Azure, Docker, AWS, Terraform"
Big Data Analyst,"Hadoop, SQL, Data Visualization, Spark, Python, Hive"
Digital Marketing Specialist,"Content Marketing, Social Media Marketing, Email Marketing, Google Analytics, SEO"
Scrum Master,"Agile, Sprint Planning, JIRA, Scrum, Retrospectives, Team Facilitation"
